statId,statNm,matched_id,matched_name,distance_m,radius_m,matched
ME19C403,칠곡3지구 공영주차장,27230-00008,함지공원,257.0,1000,True
ME19C404,무학산공원,27260-00083,무학산공원,364.1,1000,True
ME19D114,장군졸음쉼터,,,,1000,False
ME19D216,관사정문 주차장,,,,1000,False
ME19E138,우보면사무소 주차장,,,,1000,False
ME19E139,장곡휴양림 주차장,,,,1000,False
ME19E161,범어2동 행정복지센터,27260-00073,야시골공원,236.0,1000,True
ME19E215,월광수변공원,27290-00006,도원공원,362.5,1000,True
ME19E216,달성군청,,,,1000,False
ME19E217,수성생활체육공원,27260-00076,지산공원,333.3,1000,True
ME19F260,아미산 주차장,,,,1000,False
ME19F410,위천수변 테마공원,,,,1000,False
ME19F412,물산업클러스터,,,,1000,False
ME19W401,국가물산업클러스터 주차장,,,,1000,False
ME19X404,대구스타디움 주차장,27260-00037,대구체육공원,349.5,1000,True
ME19X405,대구 동촌유원지 서편주차장,27140-00002,망우당공원,691.7,1000,True
ME19X413,도림사 주차장,,,,1000,False
ME19X430,대구봉무공원 주차장,27140-00089,봉무공원,287.8,1000,True
ME19Y406,롯데렌탈 대구지점,27140-00043,대구선아양공원,789.4,1000,True
ME19Z223,이마트 성서점,27290-00029,이곡생수공원,413.9,1000,True
ME20C182,두류1·2동1공영주차장,,,,1000,False
ME20C183,서남시장공영주차장,27170-00004,감삼못공원,820.3,1000,True
ME20C184,송현주공시장 공영주차장,27290-00020,월곡공원,498.7,1000,True
ME20C185,한국산업인력공단 대구지역본부,27290-00001,갈산공원,553.5,1000,True
