statId,parking_matched_id,parking_remaining_std_1h,parking_remaining_delta_1h,parking_realtime_ticks_1h
ME20D206,151-2-000005,1.1605769149479936,0.0,7.0
ME21A140,361-2-000004,,,
ME21B198,155-3-000006,3.6421567954234217,-10.0,7.0
ME21B1D2,361-2-000046,,,
ME21B301,156-1-000066,,,
ME21C219,154-1-000138,,,
ME21C228,156-1-000065,,,
ME21E401,157-1-000002,,,
ME22C189,361-1-000002,,,
ME22C193,361-3-000001,,,
ME22C1A1,156-3-000001,,,
ME22C1A2,156-2-000084,7.60504665954638,-22.0,7.0
ME22C1A3,152-1-000096,,,
ME22C1A4,157-1-000053,,,
ME22C251,151-1-000011,,,
ME22C252,153-1-000107,,,
ME22C253,156-1-000067,,,
ME22D191,154-1-000020,,,
ME22D192,156-2-000005,,,
ME22D245,361-2-000011,,,
ME22D254,157-1-000096,,,
ME23A218,151-2-000089,,,
ME23B113,361-3-000002,,,
ME23B114,155-1-000018,,,
ME23B115,153-2-000020,,,
ME23B186,151-2-000051,,,
ME24A243,361-3-000002,,,
ME24B142,156-1-000042,,,
ME24B143,156-2-000070,,,
ME24B144,361-2-000046,,,
ME24B207,156-2-000085,1.069044967649699,-3.0,7.0
ME25C165,361-1-000004,,,
ME25C167,156-2-000023,,,
ME25C168,156-2-000078,,,
ME25C170,151-2-000097,,,
ME25C171,151-2-000089,,,
ME25C172,154-1-000029,,,
ME25C173,154-2-000028,,,
ME25C276,361-2-000028,,,
ME25C277,156-2-000013,,,
ME25C278,155-1-000194,,,
ME25C425,157-1-000078,,,
ME25C426,151-2-000097,,,
ME25C427,151-2-000089,,,
ME25C428,155-1-000194,,,
AH000019,155-2-000091,,,
AH000052,154-1-000161,,,
AH000082,157-1-000001,,,
ALAL0013,151-1-000030,,,
AM900026,154-1-000140,,,
AM900047,150-1-000118,,,
AM900048,150-1-000118,,,
AZ100007,154-1-000095,,,
AZ100013,155-2-000064,0.7284313590846834,2.0,7.0
AZ100014,151-2-000094,,,
AZ100017,150-1-000171,,,
AZ100019,152-1-000098,,,
AZ100020,151-1-000026,,,
AZ100021,151-1-000116,,,
AZ100022,157-4-000007,,,
AZ100023,154-1-000095,,,
BE241250,157-1-000085,,,
BE241251,157-1-000085,,,
BE482306,150-4-000113,0.0,0.0,7.0
BNBN0053,157-4-000007,,,
BNBN0494,157-1-000099,,,
BNBN0583,361-3-000002,,,
BNBN0584,153-1-000008,,,
BNBN0585,156-1-000107,,,
BNBN0586,156-2-000061,,,
BNBN0588,156-1-000041,,,
BNBN0590,157-1-000085,,,
BNBN0594,155-2-000035,,,
BNBN0721,152-1-000091,,,
BNBN1092,157-1-000131,,,
BNBN1180,156-1-000011,,,
BNMI4428,151-1-000112,,,
BNMI4433,152-1-000092,,,
BNMI4438,156-4-000012,2.6572964625340596,-7.0,7.0
CG000066,157-1-000054,,,
CGP00009,154-1-000147,,,
CGP00011,155-1-000200,,,
CGP00013,155-1-000200,,,
CGP00014,151-2-000071,,,
CGP00015,151-2-000071,,,
CGP00016,151-2-000071,,,
CGP00017,151-2-000071,,,
CGP00018,151-2-000071,,,
CGP00019,151-2-000071,,,
CI0F0001,150-1-000123,,,
CI0F0002,156-2-000042,,,
CI0F0003,156-2-000079,,,
CI0F0004,157-1-000132,,,
